cancel	huỷ bỏ
catalog	mục lục
pile	Đóng cọc
pioneer	người tiên phong
pill	Viên thuốc
myth	huyền thoại
experiment	thí nghiệm
flour	bột mì
implication	hàm ý
fierce	khốc liệt
reservation	đặt phòng
block	khối
hate	ghét bỏ
flow	lưu lượng
cooperation	hợp tác
order	gọi món
therapist	nhà trị liệu
movie theater	rạp chiếu phim
distant	xa xôi
litre	lít
custody	quyền nuôi con
propose	cầu hôn
reform	cải cách
unusual, unusually usual	hiếm, khác thường
crazy	khùng
coach	huấn luyện viên
hash	băm
southeast	Đông Nam
pink	hồng
woman	đàn bà
pine	cây thông
fuck	quan hệ tình dục
save	tiết kiệm
protection	sự bảo vệ
respectively	tương ứng
pint	panh
toe	ngón chân
irony	mỉa mai
matter	vấn đề
bandage	dải băng; băng bó
frankly	thẳng thắn
ton	tấn
top	hàng đầu
syndrome	hội chứng
too	quá
surname	họ
have	có
noise	tiếng ồn
shorts	quần short
toy	đồ chơi
haul	lôi
product	sản phẩm
famous	nổi danh
question	câu hỏi
reminder	nhắc nhở
lover	người yêu
spirit	tinh thần
intellectual	trí tuệ
cheap	giá rẻ
noisy	ồn ào, huyên náo
produce	sản xuất
picture	hình ảnh
cheat	lừa đảo
regard	quan tâm
constraint	hạn chế
rose	bông hồng
unreasonable	vô lý
thousand	nghìn
infect	nhiễm, tiêm nhiễm, đầu độc, lan truyền
capital	thủ đô
minor	diễn viên phụ
traveler	du khách
cop	cảnh sát
fuel	nhiên liệu
hostile	Hostile
cow	bò
employee	Nhân viên
lab	phòng thí nghiệm
upon	trên
pray	cầu nguyện
crawl	thu thập thông tin
identical	giống nhau
plead	biện hộ
ambitious	đầy tham vọng
towel	khăn tắm
academic	học tập
function	chức năng
raise	nâng cao
spoon	cái thìa
west	hướng Tây
employer	nhà tuyển dụng
quite	khá
lap	vòng
pipe	ống
pitcher	người bình
representative	Tiêu biểu
tower	Tháp
traffic	giao thông
well-known	nổi tiếng
actress	nữ diễn viên
comparison	so sánh
including	kể cả
law	pháp luật
lay	đặt nằm
plenty	nhiều
less	ít hơn
adventure	cuộc phiêu lưu
condition	điều kiện
thirsty	khát, cảm thấy khát
ceremony	Lễ
improve	cải tiến
obligation	nghĩa vụ
violation	sự vi phạm
bombing	ném bom
try	thử
chicken	gà
university	trường đại học
technique	kỹ thuật
artificially	nhân tạo
effective	có hiệu lực
wound	vết thương
teacher	giáo viên
similarly	tương tự
swimming pool	bể nước
muscle	cơ bắp
generous	hào phóng
jelly	thạch
floor	sàn nhà
possibility	khả năng
direction	phương hướng
exhibition	triển lãm
wounded	bị thương
ideological	ý thức hệ
alcoholic	rượu; người nghiện rượu
cry	khóc
inspector	thanh tra
opening	khai mạc
doctor	Bác sĩ
industrial	công nghiệp
investor	nhà đầu tư
stable	ổn định
pillow	cái gối
spoken	nói theo 1 cách nào đó
respond	trả lời
incident	biến cố
maintenance	bảo trì
sport	môn thể thao
cluster	cụm
unlikely likely	không có thể xảy ra, không chắc chắn; không có thực
goodbye exclamation,	tạm biệt; lời chào tạm biệt
expedition	thám hiểm
in general	nói chung, đại khái
concert	buổi hòa nhạc
pity	lòng thương hại, điều đáng tiếc, đáng thương
in favour/favor	ủng hộ cái gì
absorb	hấp thụ
supply	cung cấp
uncertain	không chắc chắn
concern	mối quan ngại
leg	Chân
unimportant	khônh quan trọng, không trọng đại
beautiful	đẹp
integrity	chính trực
mountain	núi
let	để cho
n't	không
adviser	cố vấn
state	tiểu bang
cargo	hàng hóa
dock	bến tàu
press	nhấn
worker	công nhân
dough	bột
element	thành phần
environmental	môi trường
good at	tiến bộ ở
night	đêm
pace	tốc độ
probable	có thể, có khả năng
opposite	đối diện
pack	đóng gói
each	mỗi
cue	gợi ý
offering	chào bán
enroll	ghi danh
stereotype	khuôn mẫu
groceries	hàng tạp hóa
cup	tách
thirty	ba mươi
polite	lễ phép, lịch sự
cut	cắt tỉa
perfectly	hoàn hảo
entertainment	sự giải trí
probably	có lẽ
warrior	chiến binh
document	tài liệu
jurisdiction	quyền hạn
constitutional	hiến pháp
killing	giết chết
availability	khả dụng
battery	ắc quy
two	hai
clay	đất sét
moment	chốc lát
promote	Quảng bá
tear	nước mắt
calmly	yên lặng, êm ả; bình tĩnh, điềm tĩnh
scenario	kịch bản
attack	tấn công
humour	sự hài hước, sự hóm hỉnh
builder	người xây dựng
divorce	ly hôn
attach	đính kèm
distribute	phân phát
worried	lo lắng
kitchen	phòng bếp
shout	kêu la
ankle	mắt cá
creation	sự sáng tạo
situation	tình hình
legislation	pháp luật
think	suy nghĩ
ingredient	thành phần
participate	tham dự
ex- prefix	tiền tố chỉ bên ngoài
anxiously	lo âu, lo lắng, băn khoăn
reporter	phóng viên
team	đội
withdrawal	thu hồi
shove	xô
timetable	kế hoạch làm việc, thời gian biểu
marketing	tiếp thị
prayer	cầu nguyện
speech	phát biểu
watch	đồng hồ đeo tay
clap	vỗ, vỗ tay; tiếng nổ, tiếng vỗ tay
purple	màu tím
quit	thoái lui
polish	nước bóng, nước láng; đánh bóng, làm cho láng
Jew	Người Do Thái
cabinet	buồng
thing	Điều
fashion	thời trang
insurance	bảo hiểm
southwest	tây nam
surely	chắc chắn
medical	Y khoa
principle	nguyên tắc
two-thirds	hai phần ba
thigh	đùi
lid	Nắp
importantly	quan trọng
as well	cũng, cũng như
lie	nói dối
source	nguồn
smell	mùi
participant	người tham gia
domestic	trong nước
initiate	bắt đầu
unable	không thể
lip	môi
dying	chết
uncontrolled	không bị điều khiển, không bị kiểm tra, không bị hạn
separation	tách biệt
bias	sự thiên vị
donation	Quyên góp
shoot	bắn
stability	sự ổn định
budget	ngân sách
actual	thực tế
chest	ngực
eastern	phương Đông
glass	ly
tension	căng thẳng
reflection	sự phản chiếu
campus	khuôn viên
juror	bồi thẩm đoàn
ultimate	tối hậu
widely	rộng rãi
doubt	nghi ngờ
jacket	Áo khoác
merit	n
verbal	lời nói
alphabetically	theo thứ tự abc
develop	phát triển, xây dựng
surprising	thật ngạc nhiên
harassment	quấy rối
suited	hợp, phù hợp, thích hợp với
involved	có tính liên quan
district	huyện
overall	tổng thể
fixed	đã sửa
page	trang
assume	giả định
full	đầy
pepper	tiêu
Italian	người Ý
away	xa
memory	ký ức
scientist	nhà khoa học
concept	khái niệm
motivation	động lực
house	nhà ở
disaster	thảm họa
stare	nhìn chằm chằm
painful	đau đớn
enhance	nâng cao
convention	quy ước
harvest	mùa gặt
opposing	tính đối kháng, đối chọi
pain	đau đớn
center	Trung tâm
suspicion	nghi ngờ
purchase	mua, tựa vào, bám vào
refusal	sự từ chối, sự khước từ
shore	bờ biển
start	khởi đầu
teen	thiếu niên
pair	đôi
lifestyle	lối sống
manage	quản lý
equal	công bằng
unpleasant pleasant	không dễ chịu, khó chịu
fund	quỹ
gravity	nghiêm trọng
recipient	người nhận
short	ngắn
FALSE	SAI
finance	tài chính
parking	bãi đỗ xe
studio	studio
downward	xuống, đi xuống
palm	lòng bàn tay
regulate	quy định
three	số ba
required	cần thiết
climb	leo
premise	tiền đề
whoever	bất cứ ai
golden	vàng
season	Mùa
controversial	gây tranh cãi
payment	thanh toán
specifically	đặc biệt
enter	đi vào
lonely	cô đơn
gallery	bộ sưu tập
pale	nhợt nhạt
hardware	phần cứng
plaintiff	nguyên đơn
deputy	Phó
warmth	ấm áp
destroy	hủy hoại
hostage	con tin
fffff	hihi
priority	sự ưu tiên
creative	sáng tạo
coast	bờ biển
judicial	tư pháp
shuttle	đưa đón
untidy tidy	không gọn gàng, không ngăn nắp, lộn xộn
provide	cung cấp
athletic	Khỏe mạnh
primary	sơ cấp
log	đăng nhập
enterprise	doanh nghiệp
reliability	độ tin cậy
bright	sáng
solar	hệ mặt trời
consume	tiêu dùng
teaching	giảng bài
formation	sự hình thành
accidental	tình cờ, bất ngờ
unknown	không xác định
glasses	kính đeo mắt
lot	nhiều
computer	máy vi tính
premium	phí bảo hiểm
low	thấp
assure	cam đoan
cellphone	điện thoại di động
consult	tham khảo ý kiến
merely	đơn thuần
planner	lập kế hoạch
on behalf of sb	thay mặt cho ai, nhân danh ai
wealth	sự giàu có
means	của cải, tài sản, phương tiện
funding	kinh phí
performer	người biểu diễn
survive	tồn tại
wallet	cái ví
doll	búp bê
initial	ban đầu
centre	điểm giữa, trung tâm, trung ương
fellow	đồng bào
fetch	tìm về, đem về; làm bực mình; làm say mê, quyến rũ
barely	vừa đủ
cling	bám lấy
diabetes	Bệnh tiểu đường
clip	kẹp
door	cửa
quick	nhanh chóng
nutrient	chất dinh dưỡng
alliance	liên minh
dad	cha
friendly	thân thiện
possession	chiếm hữu
tell	nói
husband	người chồng
experience	kinh nghiệm
dam	con đập
commander	chỉ huy
courtroom	phòng xử án
zone	vùng
affair	chuyện
day	ngày
combination	sự phối hợp
banana	trái chuối
jewelry	đồ trang sức
obtain	đạt được
drinking	uống
curiosity	sự tò mò
island	Đảo
format	định dạng
sacrifice	sự hy sinh
particular	cụ thể
theological	thần học
p.m.	quá trưa, chiều, tối
illegal	bất hợp pháp
water	Nước
pause	tạm ngừng
formal	chính thức
instructor	giảng viên
perceived	lĩnh hội
troop (PL)	quân (PL)
entertain	giải trí, tiếp đón, chiêu đãi
ease	giảm bớt
tent	lều
critical	chỉ trích
mathematics	toán học
part	phần
elsewhere	ở nơi khác
envision	hình dung
bike	xe đạp
principal	hiệu trưởng
tend	có xu hướng
east	Đông
shall modal	dự đoán tương lai: sẽ
exotic	kỳ lạ
relief	cứu trợ
wildly	dại, hoang
introduction	Giới thiệu
park	công viên
therapy	trị liệu
concentration	sự tập trung
heavily	nặng nề
colleague	đồng nghiệp
diamond	kim cương
economics	Kinh tế học
confession	lời thú tội
someone	người nào
third	thứ ba
build	xây dựng
entertainer	người quản trò, người tiếp đãi, chiêu đãi
earn	kiếm
interaction	sự tương tác
further	xa hơn nữa; thêm nữa
interfere	gây trở ngại
apartment	căn hộ, chung cư
tolerate	tha thứ
electronics	thiết bị điện tử
stack	cây rơm
Republican	Đảng Cộng hòa
parliament	nghi viện, quốc hội
path	con đường
crack	cừ, xuất sắc; làm nứt, làm vỡ, nứt nẻ, rạn nứt
bind	trói buộc
depending	tùy
record	ghi lại
blankly	ngây ra, không có thần
railway	đường sắt
prevention	Phòng ngừa
announcement	thông báo
crisp	giòn
carefully	cẩn thận
pass	vượt qua
mile	dặm
past	quá khứ
impact	va chạm
mild	nhẹ nhàng
profile	Hồ sơ
shock	sốc
switch  on	bật điện
milk	Sữa
bill	hóa đơn
CEO	CEO
Arab	Arab
easy	dễ dàng
whose	có
buyer	người mua
mill	cối xay
bucket	cái xô
senior	cao cấp
dose	liều
domain	miền
adult	người lớn
attitude	Thái độ
relative	quan hệ
average	Trung bình cộng
treatment	điều trị
compare	so sánh
influential	có ảnh hưởng
Bible	Kinh Thánh
transparent	trong suốt; dễ hiểu, sáng sủa
adoption	nhận con nuôi
grasp	sự hiểu biết
journal	tạp chí
distinctive	đặc biệt
composition	thành phần
grass	cỏ
unlike	không giống
annoyed	bị khó chịu, bực mình, bị quấy rầy
hotel	khách sạn
wednesday	thứ 4
term	kỳ hạn
acquisition	mua lại
deadline	hạn chót
so-called	cái gọi là
mine	tôi
grateful	tri ân
mind	lí trí
business	kinh doanh
retailer	nhà bán lẻ
Iraqi	Iraqi
staff	cán bộ
involve	liên quan
partly	từng phần
possible	khả thi
right	đúng
be going to	sắp sửa, có ý định
stage	sân khấu
complicated	phức tạp
borrow	vay
maximum	tối đa
inch	insơ
desert	Sa mạc
under	Dưới
quarter	phần tư
die	chết
dig	đào
added	thêm
emergency	trường hợp khẩn cấp
dip	nhúng
down	xuống
unacceptable acceptable	không thể chấp nhận
faculty	giảng viên
habit	thói quen
later	một lát sau
passport	hộ chiếu
bird	chim
clue	manh mối
club	câu lạc bộ
legal	hợp pháp
midst	giữa
bye exclamation	tạm biệt
lawmaker	nhà lập pháp
highway	Xa lộ
businessman	doanh nhân
signal	tín hiệu
possibly	có thể
journey	hành trình
test	thử nghiệm
finally	cuối cùng
enforcement	thực thi
exhaust	thoát ra
varied	thuộc nhiều loại khác nhau, những vẻ đa dạng
conviction	lòng tin chắc, sự kết án, phán quyết
grape	giống nho
brown	nâu
publicly	công khai
straw	Rơm rạ
regarding	về
sodium	natri
acceptance	chấp thuận
month	tháng
petrol	xăng dầu
final	sau cùng
tackle	giải quyết
distract	làm mất tập trung
occasion	dịp
loan	tiền vay
squeeze	bóp
virtual	ảo
rather	hơn
importance	tầm quan trọng
back	trở lại
endless	bất tận
training	đào tạo
expectation	sự mong đợi
title	chức vụ
miss	bỏ lỡ
pound	pao
load	tải trọng
bite	cắn
disgusting	làm ghê tởm, kinh tởm
ignore	bỏ qua
company	Công ty
nuclear	Nguyên tử
human	Nhân loại
poetry	thơ phú
prince	hoành tử
yeah exclamation	vâng, ừ
spelling	sự viết chính tả
relax	thư giãn
custom	tập quán
length	chiều dài
priest	thầy tu
permission	sự cho phép
grand	lớn
schedule	kế hoạch
beach	bờ biển
inherit	thừa kế
interpret	thông dịch
overwhelming	áp đảo
universe	vũ trụ
baby	đứa bé
blanket	cái mền
HÀ ANH HÙNG	BG 22/2/1999
grant	ban cho
qualified	đủ tư cách, điều kiện, khả năng
lunch	Bữa trưa
discount	giảm giá
construct	xây dựng
convert	đổi
attempt	cố gắng
Muslim	Hồi giáo
thick	dày
division	phân chia
balance	cân đối
supplier	nhà cung cấp
lock	Khóa
stand up	đứng đậy
used to modal	đã quen dùng
pitch	sân cỏ
text	bản văn
usually	thông thường
whereas	trong khi
proudly	một cách tự hào, một cách hãnh diện
kindness	sự tử tế, lòng tốt
fear	nỗi sợ
inspection	kiểm tra
cookie	bánh quy
printer	máy in, thợ in
appreciation	sự đánh giá
electrical	điện
statue	bức tượng
sense	giác quan
being	đang
physically	thể chất
field	cánh đồng
wilderness	hoang dã
baseball	bóng chày
interval	khoảng thời gian
legitimate	hợp pháp
dog	chó
evaluate	đánh giá
status	trạng thái
each other	nhau, lẫn nhau
trading	thương mại
upset	buồn bã
curve	đường cong
thief	kẻ trộm, kẻ cắp
embarrassed	xấu hổ
dot	dấu chấm
skin	da
stamp	tem; dán tem
skip	bỏ qua
mention	đề cập đến
mad	điên
government	chính quyền
known	nổi tiếng
legally	hợp pháp
legislator	nhà lập pháp
stream	suối
laundry	giặt ủi
nurse	y tá
coalition	liên minh
crime	tội ác
man	Đàn ông
stand	đứng
unnecessary necessary	không cần thiết, không mong muốn
map	bản đồ
surround	vây quanh
twenty	hai mươi
cigarette	thuốc lá
may	Tháng Năm
forward	phía trước
Roman	Roman
bless	ban phước
ethical	đạo đức
linhhh	aloaaaaa
comparable	so sánh
self-esteem	lòng tự trọng
opera	opera
mail	thư
presumably	có lẽ
bonus	thưởng
subject	môn học
use	sử dụng
recognition	sự công nhận
casino	casino
feel	cảm thấy
main	chủ yếu
sadness	sự buồn rầu, sự buồn bã
teenage	thiếu niên
terribly	khủng khiếp
aisle	lối đi
arrangement	sắp xếp
revenue	thu nhập
strip	dải
continuous	liên tiếp
negotiation	đàm phán
grain	ngũ cốc
credit	tín dụng
residence	nơi cư trú
oxygen	ôxy
terrible	khủng khiếp
alter	thay đổi
combine	phối hợp
waste	chất thải
cheerfully	vui vẻ, phấn khởi
textbook	sách giáo khoa
ideal	lý tưởng
comedy	phim hài
equipment	Trang thiết bị
dry	khô
establishment	thành lập
pressure	sức ép
streak	streak
feed	nuôi
background	lý lịch
unkind kind	không tử tế, không tốt
nonetheless	dù sao
colorful	Đầy màu sắc
handsome	đẹp
constitution	hiến pháp
stair	cầu thang
Canadian	người Canada
cocaine	cocaine
blend	trộn
conceive	thụ thai
disapproving	phản đối
nonsense	lời nói vô lý, vô nghĩa
breath	hơi thở
ball	trái bóng
meo	meoaa
repeat	nói lại
smoking	sự hút thuốc
seem linking	chọn lựa, chọn lọc
physical	vật lý
make	chế tạo
opposed	phản đối
thread	chủ đề
exactly	chính xác
rapidly	nhanh chóng
structure	kết cấu
intensity	cường độ
orange	trái cam
outdoor	ngoài trời
stake	cổ phần
witness	nhân
due	đến hạn
bake	bake
biscuit	bánh quy
threat	mối đe dọa
breast	nhũ hoa
invention	sự phát minh
please exclamation,	làm vui lòng, vừa lòng, mong... vui lòng, xin mời
curl	quăn, xoắn, uốn quăn, làm xoắn; sự uốn quăn
inform	thông báo
psychological	tâm lý
depend	tùy theo
sized	đã được định cỡ
about	trong khoảng
commit	cam kết
untidy	không gọn gàng, không ngăn nắp, lộn xộn
cure	chữa khỏi
curb	kiềm chế, nén lại, hạn chế
danger	nguy hiểm
take place	xảy ra, được cử hành, được tổ chức
crash	tai nạn
patch	vá
observer	người quan sát
presidency	chức tổng thống
bank	ngân hàng
character	tính cách
meaning	Ý nghĩa
above	ở trên
drawing	vẽ
cholesterol	cholesterol
magnetic	từ tính
stick	gậy
unlucky lucky	không gặp may, không may mắn
band	ban nhạc
orbit	quỹ đạo
comprise	bao gồm
height	Chiều cao
moderate	vừa phải
resident	cư dân
august	tháng tám
receiver	người nhận
singing	sự hát, tiếng hát
mall	trung tâm mua sắm
myself	riêng tôi
invent	phát minh
outer	bên ngoài
frozen	đông lạnh
wonderful	Tuyệt vời
allied	lien minh, đồng minh, thông
execute	thi hành
substantial	đáng kể
benefit	lợi ích
flood	lũ
booth	gian hàng
labor	lao động
quality	phẩm chất
unique	độc nhất
animal	thú vật
consistently	nhất quán
impatiently	nóng lòng, sốt ruột
boost	tăng
sincere	thật thà, thẳng thắng, chân thành
male	Nam giới
ministry	Bộ
shared	chia sẻ
shelter	nơi trú ẩn
examine	xem xét
old-fashioned	Cổ hủ
scan	quét
association	hiệp hội
eliminate	loại bỏ
industry	ngành công nghiệp
believe	tin
cute	dễ thương
mm-hmm	mm-hmm
long	Dài
remember	nhớ lại
into	vào
butterfly	Con bướm
glance	nháy mắt
frightening	kinh khủng, khủng khiếp
relationship	mối quan hệ
mix	pha trộn
destruction	sự phá hủy
dirty	dơ bẩn
striped	có sọc, có vằn
stiff	cứng
bother	làm phiền
expression	biểu hiện
middle	ở giữa
childhood	thời thơ ấu
star	ngôi sao
though	Tuy nhiên
wolf	chó sói
appeal	kháng cáo
many	nhiều
entrepreneur	doanh nhân
everyday	mỗi ngày
stay	ở lại
transportation	vận chuyển
controlled	được điều khiển, được kiểm tra
dedicate	dâng hiến
appear	xuất hiện
diary	Nhật ký
extensive	sâu rộng
residential	nhà ở
definitely	chắc chắn
collaboration	hợp tác
inspire	truyền cảm hứng
associated	liên kết
increasing	tăng
progress	tiến độ
Australia	nước Úc
open	mở
devote	cống hiến
seller	người bán
agent	đặc vụ
treat	đãi
wool	len
abortion	sự phá thai
bishop	giám mục
suffering	đau khổ
approximate	giống với, giống hệt với
invest	đầu tư
rapid	nhanh
project	dự án
seven	bảy
arena	đấu trường
barn	chuồng trại
loop	vòng lặp
post office	bưu điện
roughly	gần
tobacco	thuốc lá
wood	gỗ
emotionally	tình cảm
bare	trần
sidewalk	đường đi bộ
surprise	sự ngạc nhiên
suitcase	va li
beard	râu
look	nhìn
dense	dày đặc
cooker	lò, bếp, nồi nấu
flying	bay
regulator	người điều tiết
internet	liên mạng
allow	cho phép
knock	đánh
lord	chúa, vua
mass	khối lượng
proper	phù hợp
recording	ghi âm
beast	quái thú
poisonous	độc, có chất độc, gây chết, bệnh
vegetable	rau
bitter	đắng
speed	tốc độ
auction	bán đấu giá
gesture	cử chỉ
apple	táo
admit	thừa nhận
common	chung
interest	quan tâm
themselves	bản thân họ
bath	bồn tắm
organic	hữu cơ
twin	đôi
mask	mặt nạ
patrol	tuần tra
patron	người bảo trợ
winning	đang dành thắng lợi, thắng cuộc
apply	ứng dụng
recently	gần đây
overlook	bỏ qua
politician	chính trị gia
incredible	đáng kinh ngạc
separated	ly thân
bedroom	phòng ngủ
landing	đổ bộ
incredibly	vô cùng
money	tiền bạc
disagree	không đồng ý
healthy	khỏe mạnh
formula	công thức
step	bậc thang
disgust	làm ghê tởm, làm kinh tởm, làm phẫn nộ
forever	mãi mãi
mark	dấu
base	căn cứ
stem	thân cây
achievement	thành tích
trend	khuynh hướng
mechanic	thợ cơ khí
mom	mẹ
whole	toàn thể
zzzzz	....
revolution	Cuộc cách mạng
relation	quan hệ
loss	mất mát
reliable	đáng tin cậy
incentive	khuyến khích
elevator	thang máy
humor	hài hước
relate	liên hệ
routinely	thường
lost	mất đi
premises	biệt thự
per cent	phần trăm
preliminary	sơ bộ
obstacle	trở ngại
still	vẫn
van	van
biology	sinh học
work	công việc
lose	thua
constitute	cấu tạo
cattle	gia súc
playoff	playoff
toward	đối với
among	trong số
convince	thuyết phục
mate	người bạn đời
irritating	làm phát cáu, chọc tức
missionary	nhà truyền giáo
math	môn Toán
word	từ
theory	lý thuyết
contractor	nhà thầu
love	yêu
extension	sự mở rộng
internal	bên trong
gender	giới tính
signature	Chữ ký
tongue	lưỡi
architect	kiến trúc sư
literary	văn chương
republican	nhà nước cộng hòa
forehead	trán
enjoy	thưởng thức
foundation	nền tảng
secret	bí mật
ourselves	chúng ta
punch	đấm
laboratory, lab	phòng thí nghiệm
slave	nô lệ
across	băng qua
naturally	một cách tự nhiên
flexibility	Mềm dẻo
mortgage	thế chấp
identity	danh tính
ear	tai
installation	cài đặt
writing	viết
federal	liên bang
indoors	ở trong nhà
eat	ăn
loud	to tiếng
middle-class	tầng lớp trung lưu
reward	phần thưởng
hockey	khúc côn cầu
include	bao gồm
alongside	bên cạnh
swallow	nuốt
disagreement	sự bất đồng, sự không đồng ý, sự khác nhau
giaalmost	hầu như, gần như
aged	già đi
Korean	Hàn Quốc
sting	châm, chích, đốt; ngòi, vòi ; sự châm, chích..
juice	Nước ép
gathering	thu thập
opinion	quan điểm
lots	rất nhiều
altogether	hoàn toàn
soldier	lính
sleeve	tay áo
stir	khuấy
upsetting	tính đánh đổ, làm đổ
defender	hậu vệ
insult	lăng mạ, xỉ nhục; lời lăng mạ, sự xỉ nhục
voice	tiếng nói
prepared	đã được chuẩn bị
craft	nghề thủ công
existence	sự tồn tại
threshold	ngưỡng
float	phao
basketball	bóng rổ
Democrat	Dân chủ
defendant	bị cáo
portfolio	danh mục đầu tư
alley	hẻm
hunter	thợ săn
on purpose	cố tình, cố ý, có chủ tâm
exaggerate	cường điệu, phóng đại
discover	khám phá
spell	Đánh vần
midday	trưa, buổi trưa
exploration	thăm dò
imply	ngụ ý
capture	nắm bắt
excite	kích thích, kích động
revision	sự xem lại, sự đọc lại, sự sửa lại, sự ôn lại
qualification	phẩm chất, năng lực; khả năng chuyên môn
sequence	trình tự
provision	điều khoản
recruit	tuyển dụng
mud	bùn
mum	mẹ
scientific	thuộc về khoa học
congratulations	sự chúc mừng, khen ngợi; lời chúc mừng, khen
chunk	mảnh
winter	mùa đông
elder	đàn anh
platform	nền tảng
walking	đi dạo
spend	tiêu
grave	phần mộ
advantage	lợi thế
assistant	phụ tá
instead	thay thế
controversy	tranh cãi
ultimately	cuối cùng
command	chỉ huy
dessert	món tráng miệng
anticipate	đoán trước
variable	biến
temple	ngôi đền
will modal	sẽ; ý chí, ý định
irritated	tức giận, cáu tiết
landscape	phong cảnh
exception	ngoại lệ
temporary	tạm thời
habitat	môi trường sống
egg	trứng
desperate	tuyệt vọng
sufficiently	đủ, thích đáng
year	năm
leading	dẫn đầu
awful	kinh khủng
politically	chính trị
yeah	yeah
ego	tự ngã
branch	chi nhánh
urge	thúc giục
via	thông qua
high-tech	công nghệ cao
music	Âm nhạc
absent	vắng mặt, nghỉ
empire	đế chế
neat	khéo léo
understanding	hiểu biết
visual	trực quan
because	bởi vì
near	ở gần
silence	khoảng lặng
educate	giáo dục
moving	động, hoạt động
agreement	thỏa thuận
instruct	dạy
mayor	thị trưởng
merchant	thương gia
economy	nên kinh tê
community	cộng đồng
packet	gói nhỏ
version	phiên bản
bronze	đồng
planning	lập kế hoạch
selection	lựa chọn
stop	dừng lại
guess	phỏng đoán
conception	quan niệm
science	khoa học
guest	khách
detail	chi tiết
appropriate	thích hợp
forest	rừng
for instance	ví dụ chẳng hạn
least	ít nhất
utility	tiện ích
immediately	ngay
quarterback	tiền vệ
measurement	phép đo
optimistic	lạc quan
sleep	ngủ
hungry	đói bụng
swimming	bơi lội
refuse	từ chối
particle	hạt
behavior	hành vi
musician	nhạc sĩ
secretly	bí mật, riêng tư
minimize	giảm thiểu
sweep	quét
descend	hạ xuống
unfriendly	không thân thiện, không có thiện cảm
density	tỉ trọng
flavour	vị, mùi; cho gia vị, làm tăng thêm mùi vị
